"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-03-18","0,54","0,52","0,55","0,53","-1,85","0,63"
"2010-03-19","0,53","0,52","0,54","0,53","+0,00","0,14"
"2010-03-22","0,53","0,52","0,54","0,52","-1,89","0,13"
"2010-03-23","0,52","0,52","0,53","0,52","+0,00","0,22"
"2010-03-24","0,52","0,52","0,53","0,52","+0,00","0,14"
"2010-03-25","0,52","0,51","0,52","0,52","+0,00","0,17"
"2010-03-26","0,51","0,51","0,53","0,51","-1,92","0,20"
"2010-03-29","0,51","0,50","0,52","0,52","+1,96","0,16"
"2010-03-30","0,51","0,50","0,52","0,52","+0,00","0,11"
"2010-03-31","0,51","0,51","0,52","0,51","-1,92","0,05"
"2010-04-01","0,52","0,50","0,52","0,51","+0,00","0,04"
"2010-04-06","0,51","0,51","0,52","0,51","+0,00","0,06"
"2010-04-07","0,51","0,51","0,52","0,51","+0,00","0,07"
"2010-04-08","0,51","0,50","0,52","0,50","-1,96","0,06"
"2010-04-09","0,51","0,50","0,51","0,50","+0,00","0,32"
"2010-04-12","0,49","0,48","0,50","0,49","+0,00","0,19"
"2010-04-13","0,49","0,48","0,50","0,49","+0,00","0,28"
"2010-04-14","0,49","0,48","0,53","0,52","+6,12","1,30"
"2010-04-15","0,52","0,50","0,52","0,52","+0,00","0,15"
"2010-04-16","0,51","0,50","0,51","0,51","-1,92","0,08"
"2010-04-19","0,50","0,49","0,50","0,49","-3,92","0,23"
"2010-04-20","0,49","0,49","0,50","0,49","+0,00","0,07"
"2010-04-21","0,50","0,49","0,50","0,50","+2,04","0,08"
"2010-04-22","0,49","0,47","0,50","0,47","-6,00","0,32"
"2010-04-23","0,47","0,47","0,49","0,49","+4,26","0,13"
"2010-04-26","0,49","0,47","0,49","0,48","-2,04","0,09"
"2010-04-27","0,48","0,47","0,49","0,47","-2,08","0,17"
"2010-04-28","0,47","0,46","0,48","0,48","+2,13","0,18"
"2010-04-29","0,47","0,47","0,48","0,48","+0,00","0,01"
"2010-04-30","0,48","0,48","0,50","0,49","+2,08","0,61"
"2010-05-04","0,48","0,48","0,49","0,49","+0,00","0,14"
"2010-05-05","0,49","0,48","0,51","0,50","+2,04","0,58"
"2010-05-06","0,50","0,49","0,51","0,51","+2,00","0,29"
"2010-05-07","0,50","0,49","0,52","0,50","-1,96","0,58"
"2010-05-10","0,51","0,49","0,51","0,50","+0,00","0,14"
"2010-05-11","0,49","0,48","0,49","0,49","-2,00","0,10"
"2010-05-12","0,49","0,48","0,49","0,49","+0,00","0,15"
"2010-05-13","0,48","0,48","0,49","0,49","+0,00","0,16"
"2010-05-14","0,50","0,50","0,53","0,51","+4,08","1,56"
"2010-05-17","0,50","0,49","0,52","0,50","-1,96","0,15"
"2010-05-18","0,50","0,50","0,51","0,50","+0,00","0,05"
"2010-05-19","0,49","0,48","0,50","0,48","-4,00","0,19"
"2010-05-20","0,49","0,47","0,49","0,47","-2,08","0,18"
"2010-05-21","0,47","0,47","0,48","0,48","+2,13","0,05"
"2010-05-24","0,47","0,46","0,49","0,48","+0,00","0,33"
"2010-05-25","0,47","0,46","0,47","0,47","-2,08","0,19"
"2010-05-26","0,46","0,45","0,47","0,46","-2,13","0,33"
"2010-05-27","0,46","0,45","0,46","0,46","+0,00","0,14"
"2010-05-28","0,46","0,45","0,48","0,48","+4,35","0,49"
"2010-05-31","0,48","0,47","0,49","0,49","+0,00","0,09"
"2010-06-01","0,48","0,47","0,49","0,47","-4,08","0,10"
"2010-06-02","0,47","0,46","0,47","0,47","+0,00","0,04"
"2010-06-04","0,46","0,46","0,48","0,46","-2,13","0,02"
"2010-06-07","0,46","0,46","0,47","0,47","+2,17","0,02"
"2010-06-08","0,46","0,46","0,48","0,47","+0,00","0,03"
"2010-06-09","0,46","0,46","0,47","0,47","+0,00","0,04"
"2010-06-10","0,46","0,45","0,48","0,48","+2,13","0,62"
"2010-06-11","0,47","0,46","0,48","0,47","-2,08","0,10"
"2010-06-14","0,47","0,46","0,47","0,47","+0,00","0,08"
"2010-06-15","0,46","0,45","0,47","0,46","-2,13","0,07"
"2010-06-16","0,46","0,45","0,46","0,46","+0,00","0,06"
"2010-06-17","0,45","0,44","0,46","0,46","+0,00","0,12"
"2010-06-18","0,46","0,44","0,46","0,45","-2,17","0,15"
"2010-06-21","0,45","0,43","0,45","0,44","-2,22","0,13"
"2010-06-22","0,44","0,42","0,44","0,44","+0,00","0,08"
"2010-06-23","0,44","0,41","0,44","0,41","-6,82","0,12"
"2010-06-24","0,41","0,41","0,49","0,48","+17,07","3,09"
"2010-06-25","0,48","0,44","0,52","0,46","-4,17","4,23"
"2010-06-28","0,46","0,44","0,46","0,45","-2,17","0,26"
"2010-06-29","0,44","0,43","0,45","0,45","+0,00","0,17"
"2010-06-30","0,43","0,43","0,46","0,45","+0,00","0,27"
"2010-07-01","0,44","0,43","0,45","0,45","+0,00","0,12"
"2010-07-02","0,45","0,44","0,45","0,44","-2,22","0,05"
"2010-07-05","0,44","0,44","0,45","0,44","+0,00","0,04"
"2010-07-06","0,45","0,43","0,51","0,50","+13,64","2,38"
"2010-07-07","0,49","0,46","0,50","0,46","-8,00","1,02"
"2010-07-08","0,47","0,46","0,48","0,46","+0,00","0,42"
"2010-07-09","0,46","0,45","0,47","0,47","+2,17","0,23"
"2010-07-12","0,47","0,46","0,48","0,47","+0,00","0,19"
"2010-07-13","0,47","0,46","0,48","0,48","+2,13","0,19"
"2010-07-14","0,48","0,47","0,49","0,48","+0,00","0,24"
"2010-07-15","0,48","0,47","0,49","0,47","-2,08","0,21"
"2010-07-16","0,48","0,47","0,49","0,48","+2,13","0,24"
"2010-07-19","0,48","0,47","0,49","0,48","+0,00","0,08"
"2010-07-20","0,49","0,45","0,50","0,45","+0,00","1,28"
"2010-07-21","0,47","0,45","0,47","0,47","+4,44","0,34"
"2010-07-22","0,47","0,45","0,50","0,48","+2,13","1,24"
"2010-07-23","0,49","0,48","0,50","0,49","+2,08","0,13"
"2010-07-26","0,49","0,48","0,50","0,49","+0,00","0,21"
"2010-07-27","0,49","0,48","0,49","0,49","+0,00","0,08"
"2010-07-28","0,49","0,47","0,49","0,49","+0,00","0,10"
"2010-07-29","0,49","0,48","0,49","0,49","+0,00","0,12"
"2010-07-30","0,48","0,48","0,54","0,51","+4,08","3,14"
"2010-08-02","0,53","0,52","0,55","0,53","+3,92","2,41"
"2010-08-03","0,53","0,48","0,53","0,50","-5,66","1,75"
"2010-08-04","0,50","0,49","0,51","0,50","+0,00","0,38"
"2010-08-05","0,50","0,49","0,51","0,49","-2,00","0,53"
"2010-08-06","0,50","0,49","0,50","0,49","+0,00","0,27"
"2010-08-09","0,50","0,48","0,50","0,49","+0,00","0,21"
"2010-08-10","0,49","0,48","0,49","0,49","+0,00","0,16"
"2010-08-11","0,49","0,48","0,50","0,49","+0,00","0,11"
"2010-08-12","0,48","0,48","0,49","0,49","+0,00","0,14"
"2010-08-13","0,48","0,47","0,49","0,47","-4,08","0,12"
"2010-08-16","0,48","0,47","0,49","0,49","+4,26","0,13"
"2010-08-17","0,48","0,48","0,49","0,48","-2,04","0,08"
"2010-08-18","0,49","0,48","0,49","0,49","+2,08","0,10"
"2010-08-19","0,48","0,47","0,49","0,49","+0,00","0,09"
"2010-08-20","0,48","0,47","0,49","0,49","+0,00","0,06"
"2010-08-23","0,47","0,47","0,49","0,49","+0,00","0,10"
"2010-08-24","0,48","0,47","0,48","0,47","-4,08","0,45"
"2010-08-25","0,47","0,47","0,48","0,47","+0,00","0,06"
"2010-08-26","0,48","0,46","0,48","0,48","+2,13","0,04"
"2010-08-27","0,48","0,46","0,48","0,47","-2,08","0,08"
"2010-08-30","0,48","0,45","0,48","0,47","+0,00","0,27"
"2010-08-31","0,46","0,46","0,47","0,46","-2,13","0,10"
"2010-09-01","0,46","0,45","0,46","0,46","+0,00","0,14"
"2010-09-02","0,46","0,45","0,47","0,46","+0,00","0,16"
"2010-09-03","0,46","0,45","0,47","0,46","+0,00","0,24"
"2010-09-06","0,46","0,45","0,48","0,46","+0,00","0,55"
"2010-09-07","0,47","0,46","0,49","0,48","+4,35","0,74"
"2010-09-08","0,48","0,46","0,48","0,47","+0,00","0,12"
"2010-09-09","0,46","0,46","0,47","0,46","-2,13","0,21"
"2010-09-10","0,47","0,45","0,47","0,46","+0,00","0,24"
"2010-09-13","0,46","0,46","0,47","0,47","+2,17","0,09"
"2010-09-14","0,46","0,46","0,47","0,47","+0,00","0,11"
"2010-09-15","0,47","0,46","0,47","0,47","+0,00","0,16"
"2010-09-16","0,47","0,46","0,48","0,48","+2,13","0,36"
"2010-09-17","0,47","0,46","0,48","0,47","-2,08","0,22"
"2010-09-20","0,46","0,46","0,47","0,47","+0,00","0,18"
"2010-09-21","0,47","0,46","0,47","0,46","-2,13","0,15"
"2010-09-22","0,46","0,46","0,47","0,47","+2,17","0,18"
"2010-09-23","0,47","0,46","0,47","0,46","-2,13","0,13"
"2010-09-24","0,47","0,46","0,47","0,47","+2,17","0,05"
"2010-09-27","0,47","0,46","0,47","0,46","-2,13","0,04"
"2010-09-28","0,46","0,45","0,47","0,47","+2,17","0,10"
"2010-09-29","0,46","0,46","0,47","0,47","+0,00","0,08"
"2010-09-30","0,46","0,45","0,47","0,46","-2,13","0,10"
"2010-10-01","0,45","0,45","0,47","0,47","+2,17","0,09"
"2010-10-04","0,46","0,46","0,47","0,47","+0,00","0,03"
"2010-10-05","0,47","0,46","0,47","0,47","+0,00","0,06"
"2010-10-06","0,46","0,45","0,47","0,47","+0,00","0,05"
"2010-10-07","0,46","0,45","0,47","0,47","+0,00","0,06"
"2010-10-08","0,46","0,46","0,47","0,46","-2,13","0,02"
"2010-10-11","0,46","0,45","0,47","0,47","+2,17","0,07"
"2010-10-12","0,46","0,45","0,47","0,47","+0,00","0,06"
"2010-10-13","0,46","0,45","0,47","0,46","-2,13","0,07"
"2010-10-14","0,46","0,45","0,46","0,46","+0,00","0,06"
"2010-10-15","0,45","0,44","0,46","0,46","+0,00","0,26"
"2010-10-18","0,45","0,45","0,47","0,46","+0,00","0,27"
"2010-10-19","0,46","0,44","0,46","0,46","+0,00","0,10"
"2010-10-20","0,45","0,44","0,46","0,46","+0,00","0,07"
"2010-10-21","0,46","0,45","0,48","0,46","+0,00","1,32"
"2010-10-22","0,46","0,45","0,46","0,46","+0,00","0,18"
"2010-10-25","0,45","0,44","0,46","0,45","-2,17","0,05"
"2010-10-26","0,46","0,45","0,47","0,46","+2,22","0,51"
"2010-10-27","0,45","0,45","0,46","0,46","+0,00","0,04"
"2010-10-28","0,45","0,45","0,46","0,46","+0,00","0,09"
"2010-10-29","0,46","0,44","0,46","0,45","-2,17","0,06"
"2010-11-02","0,45","0,44","0,45","0,45","+0,00","0,20"
"2010-11-03","0,43","0,43","0,45","0,45","+0,00","0,08"
"2010-11-04","0,45","0,43","0,45","0,44","-2,22","0,06"
"2010-11-05","0,44","0,43","0,45","0,45","+2,27","0,07"
"2010-11-08","0,44","0,43","0,45","0,45","+0,00","0,08"
"2010-11-09","0,44","0,43","0,45","0,43","-4,44","0,06"
"2010-11-10","0,44","0,43","0,45","0,45","+4,65","0,05"
"2010-11-12","0,44","0,43","0,45","0,45","+0,00","0,11"
"2010-11-15","0,44","0,43","0,44","0,44","-2,22","0,02"
"2010-11-16","0,44","0,43","0,44","0,44","+0,00","0,10"
"2010-11-17","0,43","0,42","0,44","0,44","+0,00","0,15"
"2010-11-18","0,43","0,43","0,44","0,44","+0,00","0,01"
"2010-11-19","0,44","0,42","0,44","0,43","-2,27","0,06"
"2010-11-22","0,42","0,42","0,43","0,43","+0,00","0,02"
"2010-11-23","0,42","0,41","0,43","0,42","-2,33","0,07"
"2010-11-24","0,41","0,41","0,43","0,42","+0,00","0,08"
"2010-11-25","0,41","0,41","0,42","0,42","+0,00","0,07"
"2010-11-26","0,41","0,41","0,44","0,43","+2,38","0,26"
"2010-11-29","0,42","0,41","0,43","0,42","-2,33","0,01"
"2010-11-30","0,43","0,41","0,43","0,42","+0,00","0,04"
"2010-12-01","0,42","0,41","0,43","0,43","+2,38","0,03"
"2010-12-02","0,41","0,41","0,43","0,42","-2,33","0,23"
"2010-12-03","0,42","0,41","0,42","0,42","+0,00","0,05"
"2010-12-06","0,41","0,40","0,42","0,41","-2,38","0,05"
"2010-12-07","0,40","0,39","0,41","0,40","-2,44","0,08"
"2010-12-08","0,39","0,39","0,40","0,40","+0,00","0,07"
"2010-12-09","0,39","0,39","0,41","0,40","+0,00","0,12"
"2010-12-10","0,39","0,39","0,41","0,41","+2,50","0,13"
"2010-12-13","0,40","0,40","0,42","0,40","-2,44","0,15"
"2010-12-14","0,40","0,40","0,43","0,40","+0,00","0,23"
"2010-12-15","0,42","0,41","0,46","0,43","+7,50","0,80"
"2010-12-16","0,44","0,42","0,45","0,42","-2,33","0,15"
"2010-12-17","0,43","0,41","0,44","0,42","+0,00","0,24"
"2010-12-20","0,43","0,41","0,43","0,41","-2,38","0,08"
"2010-12-21","0,41","0,41","0,45","0,43","+4,88","0,49"
"2010-12-22","0,43","0,43","0,47","0,45","+4,65","0,36"
"2010-12-23","0,48","0,47","0,52","0,52","+15,56","3,26"
"2010-12-27","0,51","0,49","0,56","0,55","+5,77","2,27"
"2010-12-28","0,60","0,58","0,68","0,68","+23,64","2,67"
"2010-12-29","0,79","0,72","0,85","0,73","+7,35","9,03"
"2010-12-30","0,78","0,64","0,78","0,66","-9,59","8,29"
"2010-12-31","0,64","0,58","0,70","0,61","-7,58","4,74"
"2011-01-03","0,59","0,58","0,62","0,61","+0,00","0,93"
"2011-01-04","0,61","0,57","0,66","0,66","+8,20","0,99"
"2011-01-05","0,60","0,54","0,66","0,55","-16,67","7,29"
"2011-01-07","0,55","0,52","0,56","0,55","+0,00","0,70"
"2011-01-10","0,54","0,49","0,56","0,49","-10,91","5,24"
"2011-01-11","0,47","0,47","0,49","0,49","+0,00","0,30"
"2011-01-12","0,49","0,48","0,50","0,49","+0,00","0,19"
"2011-01-13","0,49","0,47","0,52","0,50","+2,04","0,58"
"2011-01-14","0,51","0,50","0,53","0,52","+4,00","0,56"
"2011-01-17","0,52","0,51","0,55","0,55","+5,77","0,39"
"2011-01-18","0,50","0,47","0,52","0,49","-10,91","2,86"
"2011-01-19","0,49","0,47","0,49","0,48","-2,04","0,37"
"2011-01-20","0,48","0,47","0,48","0,47","-2,08","0,23"
"2011-01-21","0,47","0,45","0,47","0,46","-2,13","0,52"
"2011-01-24","0,46","0,44","0,47","0,47","+2,17","0,32"
"2011-01-25","0,47","0,46","0,48","0,48","+2,13","0,11"
"2011-01-26","0,47","0,45","0,48","0,47","-2,08","0,07"
"2011-01-27","0,47","0,44","0,47","0,46","-2,13","0,27"
"2011-01-28","0,45","0,44","0,46","0,46","+0,00","0,15"
"2011-01-31","0,45","0,44","0,45","0,44","-4,35","0,12"
"2011-02-01","0,44","0,43","0,45","0,43","-2,27","0,19"
"2011-02-02","0,43","0,41","0,43","0,43","+0,00","0,21"
"2011-02-03","0,42","0,42","0,44","0,43","+0,00","0,13"
"2011-02-04","0,43","0,42","0,44","0,43","+0,00","0,07"
"2011-02-07","0,44","0,42","0,44","0,44","+0,00","0,04"
"2011-02-08","0,44","0,43","0,44","0,44","+0,00","0,03"
"2011-02-09","0,43","0,40","0,44","0,42","-4,55","0,45"
"2011-02-10","0,41","0,40","0,42","0,42","+0,00","0,12"
"2011-02-11","0,42","0,41","0,42","0,42","+0,00","0,04"
"2011-02-14","0,42","0,41","0,43","0,42","+0,00","0,09"
"2011-02-15","0,43","0,41","0,43","0,42","+0,00","0,04"
"2011-02-16","0,42","0,41","0,42","0,42","+0,00","0,03"
"2011-02-17","0,41","0,41","0,42","0,42","+0,00","0,05"
"2011-02-18","0,41","0,40","0,42","0,41","-2,38","0,07"
"2011-02-21","0,41","0,41","0,42","0,42","+2,44","0,11"
"2011-02-22","0,41","0,40","0,42","0,42","+0,00","0,05"
"2011-02-23","0,41","0,40","0,42","0,41","-2,38","0,12"
"2011-02-24","0,41","0,40","0,42","0,40","-2,44","0,07"
"2011-02-25","0,41","0,41","0,42","0,42","+5,00","0,02"
"2011-02-28","0,41","0,41","0,42","0,42","+0,00","0,04"
"2011-03-01","0,42","0,40","0,42","0,42","+0,00","0,04"
"2011-03-02","0,42","0,40","0,42","0,42","+0,00","0,04"
"2011-03-03","0,42","0,40","0,42","0,42","+0,00","0,03"
"2011-03-04","0,42","0,40","0,42","0,41","-2,38","0,03"
"2011-03-07","0,41","0,40","0,42","0,42","+2,44","0,03"
"2011-03-08","0,41","0,40","0,42","0,42","+0,00","0,02"
"2011-03-09","0,41","0,40","0,42","0,41","-2,38","0,01"
"2011-03-10","0,42","0,40","0,42","0,42","+2,44","0,08"
"2011-03-11","0,41","0,40","0,42","0,42","+0,00","0,05"
"2011-03-14","0,40","0,40","0,42","0,42","+0,00","0,09"
"2011-03-15","0,41","0,39","0,41","0,41","-2,38","0,23"
"2011-03-16","0,40","0,40","0,41","0,41","+0,00","0,02"
"2011-03-17","0,40","0,40","0,41","0,41","+0,00","0,05"
"2011-03-18","0,41","0,40","0,45","0,45","+9,76","0,76"
"2011-03-21","0,44","0,44","0,49","0,49","+8,89","1,35"
"2011-03-22","0,45","0,41","0,47","0,43","-12,24","4,42"
"2011-03-23","0,42","0,40","0,43","0,42","-2,33","0,42"
"2011-03-24","0,41","0,39","0,42","0,40","-4,76","0,78"
"2011-03-25","0,40","0,39","0,41","0,41","+2,50","0,27"
"2011-03-28","0,41","0,39","0,41","0,41","+0,00","0,17"
"2011-03-29","0,40","0,39","0,41","0,41","+0,00","0,11"
"2011-03-30","0,41","0,39","0,41","0,41","+0,00","0,14"
"2011-03-31","0,40","0,39","0,41","0,40","-2,44","0,55"
"2011-04-01","0,40","0,39","0,40","0,40","+0,00","0,13"
"2011-04-04","0,40","0,38","0,40","0,40","+0,00","0,25"
"2011-04-05","0,40","0,37","0,40","0,38","-5,00","0,62"
"2011-04-06","0,38","0,38","0,40","0,39","+2,63","0,27"
"2011-04-07","0,39","0,38","0,40","0,40","+2,56","0,20"
"2011-04-08","0,40","0,38","0,44","0,42","+5,00","1,78"
"2011-04-11","0,41","0,40","0,43","0,40","-4,76","0,24"
"2011-04-12","0,41","0,40","0,42","0,42","+5,00","0,06"
"2011-04-13","0,42","0,40","0,42","0,42","+0,00","0,07"
"2011-04-14","0,42","0,40","0,43","0,43","+2,38","0,31"
"2011-04-15","0,41","0,41","0,43","0,42","-2,33","0,27"
"2011-04-18","0,43","0,41","0,43","0,42","+0,00","0,02"
"2011-04-19","0,42","0,41","0,42","0,42","+0,00","0,02"
"2011-04-20","0,41","0,38","0,42","0,40","-4,76","1,22"
"2011-04-21","0,40","0,38","0,41","0,39","-2,50","0,54"
"2011-04-26","0,40","0,39","0,40","0,40","+2,56","0,14"
"2011-04-27","0,39","0,38","0,40","0,40","+0,00","0,08"
"2011-04-28","0,39","0,39","0,40","0,39","-2,50","0,05"
"2011-04-29","0,40","0,39","0,40","0,40","+2,56","0,04"
"2011-05-02","0,39","0,39","0,40","0,39","-2,50","0,08"
"2011-05-04","0,39","0,38","0,40","0,39","+0,00","0,04"
"2011-05-05","0,39","0,38","0,40","0,38","-2,56","0,07"
"2011-05-06","0,38","0,38","0,40","0,39","+2,63","0,04"
"2011-05-09","0,39","0,38","0,40","0,39","+0,00","0,07"
"2011-05-10","0,39","0,38","0,39","0,39","+0,00","0,03"
"2011-05-11","0,39","0,38","0,40","0,39","+0,00","0,09"
"2011-05-12","0,38","0,38","0,39","0,39","+0,00","0,03"
"2011-05-13","0,38","0,38","0,39","0,39","+0,00","0,04"
"2011-05-16","0,38","0,37","0,39","0,38","+0,00","0,12"
"2011-05-17","0,38","0,36","0,38","0,37","-2,63","0,11"
"2011-05-18","0,37","0,37","0,38","0,38","+2,70","0,02"
"2011-05-19","0,38","0,37","0,38","0,38","+0,00","0,03"
"2011-05-20","0,37","0,37","0,38","0,37","-2,63","0,01"
"2011-05-23","0,38","0,36","0,38","0,38","+2,70","0,05"
"2011-05-24","0,36","0,36","0,38","0,37","-2,63","0,02"
"2011-05-25","0,36","0,36","0,38","0,38","+2,70","0,02"
"2011-05-26","0,38","0,36","0,38","0,37","-2,63","0,02"
"2011-05-27","0,37","0,36","0,41","0,41","+10,81","0,73"
"2011-05-30","0,42","0,39","0,43","0,39","-4,88","0,38"
"2011-05-31","0,40","0,39","0,40","0,40","+2,56","0,07"
"2011-06-01","0,40","0,38","0,40","0,39","-2,50","0,01"
"2011-06-02","0,38","0,38","0,39","0,39","+0,00","0,01"
"2011-06-03","0,38","0,38","0,39","0,38","-2,56","0,07"
"2011-06-06","0,39","0,38","0,39","0,38","+0,00","0,03"
"2011-06-07","0,38","0,38","0,39","0,39","+2,63","0,02"
"2011-06-08","0,38","0,38","0,38","0,38","-2,56","0,01"
"2011-06-09","0,38","0,37","0,39","0,38","+0,00","0,01"
"2011-06-10","0,37","0,37","0,39","0,37","-2,63","0,01"
"2011-06-13","0,38","0,37","0,38","0,37","+0,00","0,02"
"2011-06-14","0,38","0,37","0,38","0,38","+2,70","0,01"
"2011-06-15","0,37","0,37","0,37","0,37","-2,63","0,01"
"2011-06-16","0,37","0,37","0,38","0,38","+2,70","0,05"
"2011-06-17","0,37","0,37","0,38","0,38","+0,00","0,02"
"2011-06-20","0,37","0,37","0,37","0,37","-2,63","0,01"
"2011-06-21","0,37","0,37","0,38","0,37","+0,00","0,05"
"2011-06-22","0,37","0,36","0,37","0,36","-2,70","0,02"
"2011-06-24","0,37","0,36","0,37","0,36","+0,00","0,02"
"2011-06-27","0,37","0,35","0,37","0,35","-2,78","0,04"
"2011-06-28","0,35","0,34","0,35","0,34","-2,86","0,04"
"2011-06-29","0,34","0,34","0,36","0,36","+5,88","0,03"
"2011-06-30","0,35","0,35","0,36","0,36","+0,00","0,02"
"2011-07-01","0,36","0,35","0,36","0,35","-2,78","0,00"
"2011-07-04","0,35","0,35","0,36","0,35","+0,00","0,01"
"2011-07-05","0,35","0,34","0,38","0,36","+0,00","0,18"
"2011-07-06","0,37","0,36","0,37","0,36","+0,00","0,00"
"2011-07-07","0,36","0,36","0,36","0,36","+0,00","0,03"
"2011-07-08","0,35","0,35","0,37","0,36","+0,00","0,01"
"2011-07-11","0,36","0,36","0,36","0,36","+0,00","0,02"
"2011-07-12","0,35","0,34","0,36","0,35","-2,78","0,04"
"2011-07-13","0,35","0,35","0,36","0,36","+2,86","0,00"
"2011-07-14","0,36","0,35","0,36","0,36","+0,00","0,00"
"2011-07-15","0,36","0,34","0,36","0,36","+0,00","0,06"
"2011-07-18","0,35","0,35","0,35","0,35","-2,78","0,01"
"2011-07-19","0,34","0,34","0,37","0,36","+2,86","0,10"
"2011-07-20","0,36","0,36","0,39","0,39","+8,33","0,30"
"2011-07-21","0,39","0,36","0,40","0,39","+0,00","0,29"
"2011-07-22","0,39","0,37","0,40","0,39","+0,00","0,10"
"2011-07-25","0,39","0,37","0,39","0,39","+0,00","0,01"
"2011-07-26","0,39","0,37","0,39","0,38","-2,56","0,02"
"2011-07-27","0,37","0,36","0,38","0,37","-2,63","0,01"
"2011-07-28","0,36","0,35","0,37","0,36","-2,70","0,03"
"2011-07-29","0,37","0,35","0,37","0,36","+0,00","0,01"
"2011-08-01","0,36","0,36","0,37","0,37","+2,78","0,02"
"2011-08-02","0,36","0,35","0,36","0,35","-5,41","0,03"
"2011-08-03","0,35","0,33","0,35","0,34","-2,86","0,04"
"2011-08-04","0,33","0,29","0,34","0,29","-14,71","0,04"
"2011-08-05","0,29","0,25","0,29","0,28","-3,45","0,08"
"2011-08-08","0,26","0,25","0,28","0,25","-10,71","0,03"
"2011-08-09","0,24","0,22","0,25","0,22","-12,00","0,08"
"2011-08-10","0,24","0,22","0,24","0,23","+4,55","0,06"
"2011-08-11","0,22","0,22","0,24","0,24","+4,35","0,02"
"2011-08-12","0,24","0,24","0,26","0,25","+4,17","0,03"
"2011-08-16","0,26","0,25","0,26","0,25","+0,00","0,01"
"2011-08-17","0,26","0,25","0,27","0,27","+8,00","0,03"
